,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,Candace Kane's Candy Factory,DS,2008,Action,Destineer,0.04,0.0,0.0,0.0,0.04
1,The Munchables,Wii,2009,Action,Namco Bandai Games,0.17,0.0,0.0,0.01,0.18
2,Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
3,Deal or No Deal: Special Edition,DS,2010,Misc,Zoo Games,0.04,0.0,0.0,0.0,0.04
4,Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010,Platform,D3Publisher,0.12,0.09,0.0,0.04,0.25
5,Power Pro Kun Pocket 8,DS,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14
6,JASF: Jane's Advanced Strike Fighters,PC,2011,Simulation,Deep Silver,0.02,0.01,0.0,0.0,0.03
7,Samurai Warriors: State of War,PSP,2005,Action,Tecmo Koei,0.07,0.0,0.11,0.01,0.19
8,Imabikisou,PS3,2007,Adventure,Sega,0.0,0.0,0.04,0.0,0.04
9,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011,Action,THQ,0.04,0.03,0.0,0.01,0.08
10,Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.87
11,Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.14,0.05,0.0,0.0,0.19
12,Mount & Blade,PC,2008,Role-Playing,Paradox Interactive,0.0,0.02,0.0,0.0,0.02
13,The Professor's Brain Trainer: Logic,DS,2005,Puzzle,505 Games,0.02,0.0,0.0,0.0,0.02
14,Zoids Dash,DS,2006,Role-Playing,Tomy Corporation,0.0,0.0,0.02,0.0,0.02
15,Mini Ninjas,PS3,2009,Action,Eidos Interactive,0.14,0.16,0.0,0.06,0.36
16,Rise of Nations,PC,2003,Strategy,Microsoft Game Studios,0.01,0.02,0.0,0.01,0.04
17,Hajime no Ippo: The Fighting! (2014),PS3,2014,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
18,Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,0.02,0.0,0.03,0.0,0.05
19,Tropico Reloaded,PC,2009,Strategy,Kalypso Media,0.0,0.02,0.0,0.0,0.02
20,Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17
21,Ghost in the Shell,PS,1997,Simulation,Sony Computer Entertainment,0.06,0.04,0.0,0.01,0.11
22,Cabela's Dangerous Hunts 2,XB,2005,Sports,Activision,0.08,0.02,0.0,0.0,0.1
23,Don Bradman Cricket 14,X360,2014,Sports,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01
24,Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23,1.25
25,Dr. Muto,GC,2002,Platform,Midway Games,0.02,0.01,0.0,0.0,0.03
26,Starwinder: The Ultimate Space Race,PS,1996,Racing,Mindscape,0.03,0.02,0.0,0.0,0.05
27,World of Tanks,PC,2011,Shooter,Wargaming.net,0.0,0.23,0.0,0.06,0.29
28,Famicom Mini: Makaimura,GBA,2004,Platform,Capcom,0.0,0.0,0.08,0.0,0.08
29,McGrath Vs. Pastrana Freestyle Motocross,PS,2000,Racing,Acclaim Entertainment,0.14,0.1,0.0,0.02,0.26
30,Kids Learn Music A+ Edition,DS,2011,Misc,Talking Stick Games,0.05,0.0,0.0,0.0,0.05
31,Rock Band,X360,2007,Misc,Electronic Arts,1.93,0.34,0.0,0.21,2.48
32,Project Sylpheed: Arc of Deception,X360,2006,Shooter,Microsoft Game Studios,0.12,0.01,0.02,0.01,0.16
33,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015,Misc,Nintendo,0.0,0.0,0.01,0.0,0.01
34,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0.0,0.08,0.59
35,G-Force,Wii,2009,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05,0.44
36,Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.4
37,Beamrider,2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27
38,Ninja Reflex,Wii,2008,Action,Electronic Arts,0.11,0.01,0.0,0.01,0.13
39,FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.24
40,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.86
41,Knights of Honor,PC,2004,Strategy,Sunflowers,0.0,0.02,0.0,0.01,0.03
42,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,0.33,0.05,0.25,0.04,0.67
43,Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008,Action,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05
44,Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.93
45,Resident Evil: Revelations 2,PS3,2015,Action,Capcom,0.06,0.08,0.16,0.03,0.33
46,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998,Sports,Sega,0.0,0.0,0.12,0.0,0.12
47,Sega Soccer Slam,PS2,2002,Sports,Sega,0.06,0.05,0.0,0.02,0.13
48,Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,0.13,0.02,0.0,0.02,0.17
49,Dreamworks Madagascar Kartz,X360,2009,Racing,Activision,0.14,0.09,0.0,0.02,0.25
50,Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.05,0.7
51,Chaotic: Shadow Warriors,Wii,2009,Action,Activision,0.18,0.0,0.0,0.01,0.19
52,Mega Man Xtreme 2,GB,2001,Platform,Capcom,0.0,0.0,0.07,0.0,0.07
53,IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0.34,0.26,0.0,0.1,0.7
54,Rockin' Pretty,DS,2009,Misc,Arc System Works,0.05,0.0,0.0,0.0,0.05
55,SpongeBob's Boating Bash,Wii,2010,Misc,THQ,0.25,0.07,0.0,0.03,0.35
56,Sébastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.05
57,Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010,Misc,Kamui,0.0,0.0,0.03,0.0,0.03
58,Tony Hawk: Shred,Wii,2010,Sports,Activision,0.41,0.11,0.0,0.04,0.56
59,Bomberman,NES,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03
60,The Hustle: Detroit Streets,PS2,2006,Sports,Activision,0.02,0.02,0.0,0.01,0.05
61,Unreal Tournament III,X360,2008,Shooter,Midway Games,0.25,0.17,0.01,0.05,0.48
62,NieR,X360,2010,Role-Playing,Square Enix,0.13,0.1,0.04,0.02,0.29
63,Rango: The Video Game,Wii,2011,Action,Electronic Arts,0.08,0.04,0.0,0.01,0.13
64,SD Gundam Force,GBA,2004,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.01
65,Virtua Fighter 3tb,DC,1998,Fighting,Sega,0.0,0.0,0.37,0.0,0.37
66,Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.52,0.06,0.41,0.05,1.04
67,Exhibition Volume 5,XB,2004,Misc,Microsoft Game Studios,0.04,0.01,0.0,0.0,0.05
68,Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.08,0.14,0.0,0.05,0.27
69,NBA 2K11,PC,2010,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19
70,Command & Conquer,N64,1999,Strategy,Nintendo,0.22,0.05,0.0,0.0,0.27
71,Code Lyoko,DS,2007,Action,Game Factory,0.03,0.01,0.0,0.0,0.04
72,Payday 2,XOne,2015,Shooter,505 Games,0.08,0.07,0.0,0.01,0.16
73,Teenage Mutant Ninja Turtles,XB,2003,Action,Konami Digital Entertainment,0.22,0.06,0.0,0.01,0.29
74,Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.16
75,Deadliest Catch: Sea of Chaos,PS3,2010,Sports,Crave Entertainment,0.08,0.0,0.0,0.01,0.09
76,Wrecking Crew,NES,1985,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51
77,Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.35,0.24,0.0,0.04,0.63
78,Sudokuro,DS,2007,Puzzle,Crave Entertainment,0.1,0.0,0.0,0.01,0.11
79,Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,Wii,2008,Racing,Takara Tomy,0.0,0.0,0.01,0.0,0.01
80,Dynasty Warriors Advance,GBA,2005,Action,Nintendo,0.08,0.03,0.0,0.0,0.11
81,Treasures of the Deep,PS,1997,Action,Namco Bandai Games,0.1,0.07,0.0,0.01,0.18
82,Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.01,0.15
83,Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,0.19,0.05,0.0,0.01,0.25
84,Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,0.13,0.03,0.0,0.0,0.16
85,Resident Evil: Dead Aim,PS2,2003,Action,Capcom,0.17,0.13,0.0,0.04,0.34
